concurrency,pool,throughput
1,1,36539
31,1,46390
61,1,43713
91,1,42951
121,1,42333
151,1,42470
181,1,45462
211,1,46309
241,1,44220
271,1,43357
301,1,43466
331,1,43867
361,1,42640
391,1,44138
421,1,43308
451,1,44682
481,1,41284
511,1,42517
541,1,42531
571,1,41701
601,1,44345
631,1,41305
661,1,42304
691,1,42023
721,1,41844
751,1,41953
781,1,41985
811,1,41638
841,1,42716
871,1,43073
901,1,43821
931,1,41876
961,1,41431
991,1,42340
1021,1,41652
1051,1,45000
1081,1,41974
1111,1,42918
1141,1,42211
1171,1,42922
1201,1,42098
1231,1,43211
1261,1,44154
1291,1,42683
1321,1,42027
1351,1,41764
1381,1,43463
1411,1,43062
1441,1,41213
1471,1,43444
1501,1,41809
1531,1,41182
1561,1,41813
1591,1,42822
1621,1,41597
1651,1,41562
1681,1,41237
1711,1,42441
1741,1,41243
1771,1,40577
1801,1,41007
1831,1,40283
1861,1,41701
1891,1,40089
1921,1,40453
1951,1,41010
1981,1,40591
2011,1,41732
2041,1,41192
2071,1,41493
2101,1,41363
2131,1,41711
2161,1,40980
2191,1,41611
2221,1,42618
2251,1,41806
2281,1,41879
2311,1,40943
2341,1,41921
2371,1,41670
2401,1,41552
2431,1,41981
2461,1,42251
2491,1,42984
2521,1,41590
2551,1,41911
2581,1,41017
2611,1,41858
2641,1,41918
2671,1,41476
2701,1,41394
2731,1,45126
2761,1,41165
2791,1,41981
2821,1,42186
2851,1,43565
2881,1,41604
2911,1,42261
2941,1,40943
2971,1,41318
3001,1,42455
3031,1,41507
3061,1,41670
3091,1,44200
3121,1,42600
3151,1,40990
3181,1,41325
3211,1,41739
3241,1,44239
3271,1,42311
3301,1,42197
3331,1,42822
3361,1,41600
3391,1,42502
3421,1,41697
3451,1,42290
3481,1,41694
3511,1,40829
3541,1,42819
3571,1,43323
3601,1,42362
3631,1,42815
3661,1,41848
3691,1,42837
3721,1,40776
3751,1,44851
3781,1,41545
3811,1,41152
3841,1,41373
3871,1,42771
3901,1,43763
3931,1,42643
3961,1,44992
3991,1,43029
4021,1,43140
4051,1,41213
4081,1,42098
4111,1,42301
4141,1,42596
4171,1,41876
4201,1,40706
4231,1,42226
4261,1,41890
4291,1,40822
4321,1,40886
4351,1,41963
4381,1,42172
4411,1,40909
4441,1,43196
4471,1,42372
4501,1,44750
4531,1,41865
4561,1,40726
4591,1,40358
4621,1,41995
4651,1,41566
4681,1,42294
4711,1,41335
4741,1,41411
4771,1,41394
4801,1,41291
4831,1,41680
4861,1,41466
4891,1,41729
4921,1,41377
4951,1,41806
4981,1,40706
5011,1,41666
5041,1,42797
5071,1,41148
5101,1,40319
5131,1,40525
5161,1,41010
5191,1,41189
5221,1,41175
5251,1,40713
5281,1,40584
5311,1,40371
5341,1,41597
5371,1,41284
5401,1,40413
5431,1,41356
5461,1,41145
5491,1,40693
5521,1,40690
5551,1,41271
5581,1,39971
5611,1,40508
5641,1,40906
5671,1,40607
5701,1,40231
5731,1,40296
5761,1,40577
5791,1,40759
5821,1,41162
5851,1,42083
5881,1,41673
5911,1,41442
5941,1,41907
5971,1,40826
6001,1,41271
6031,1,42276
6061,1,41414
6091,1,40574
6121,1,40371
6151,1,42622
6181,1,43032
6211,1,41774
6241,1,41182
6271,1,41967
6301,1,40769
6331,1,41687
6361,1,41101
6391,1,41869
6421,1,40923
6451,1,40876
6481,1,40842
6511,1,41677
6541,1,40627
6571,1,42002
6601,1,41992
6631,1,41635
6661,1,42034
6691,1,40650
6721,1,41445
6751,1,42669
6781,1,41823
6811,1,43508
6841,1,41746
6871,1,42294
6901,1,41196
6931,1,41356
6961,1,42140
6991,1,41466
7021,1,41586
7051,1,40859
7081,1,40498
7111,1,41152
7141,1,40983
7171,1,40849
7201,1,43455
7231,1,41353
7261,1,40189
7291,1,41094
7321,1,40426
7351,1,40617
7381,1,40950
7411,1,41332
7441,1,41145
7471,1,40355
7501,1,40779
7531,1,41010
7561,1,41074
7591,1,41411
7621,1,43245
7651,1,41094
7681,1,40234
7711,1,41155
7741,1,41490
7771,1,41138
7801,1,41101
7831,1,41677
7861,1,42080
7891,1,40617
7921,1,41220
7951,1,41017
7981,1,40980
8011,1,40960
8041,1,41992
8071,1,39891
8101,1,41583
8131,1,41542
8161,1,41020
8191,1,43572
8221,1,43466
8251,1,41555
8281,1,41332
8311,1,40919
8341,1,40869
8371,1,41497
8401,1,43237
8431,1,41175
8461,1,42165
8491,1,40859
8521,1,40853
8551,1,40943
8581,1,41642
8611,1,40581
8641,1,41865
8671,1,41010
8701,1,42091
8731,1,41135
8761,1,41192
8791,1,39866
8821,1,41750
8851,1,41104
8881,1,40215
8911,1,40719
8941,1,41308
8971,1,42254
9001,1,40433
9031,1,40607
9061,1,40443
9091,1,40929
9121,1,40653
9151,1,40873
9181,1,40051
9211,1,43316
9241,1,41115
9271,1,41528
9301,1,40766
9331,1,41108
9361,1,39704
9391,1,40916
9421,1,41490
9451,1,40413
9481,1,41159
9511,1,40270
9541,1,40763
9571,1,41837
9601,1,40535
9631,1,40729
9661,1,40759
9691,1,41635
9721,1,40482
9751,1,40410
9781,1,41111
9811,1,40933
9841,1,41233
9871,1,41250
9901,1,41528
9931,1,40963
9961,1,40980
9991,1,41312
10021,1,41209
10051,1,40594
10081,1,40829
10111,1,41091
10141,1,40607
10171,1,41237
10201,1,40690
10231,1,41876
10261,1,40970
10291,1,41209
10321,1,40303
10351,1,41425
10381,1,41607
10411,1,41418
10441,1,41834
10471,1,41397
10501,1,40342
10531,1,40690
10561,1,41199
10591,1,40776
10621,1,41514
10651,1,41893
10681,1,41890
10711,1,42301
10741,1,42279
10771,1,40591
10801,1,40913
10831,1,43044
10861,1,41267
10891,1,41288
10921,1,41199
10951,1,40953
10981,1,40640
11011,1,40096
11041,1,40436
11071,1,39974
11101,1,41162
11131,1,40666
11161,1,42578
11191,1,42365
11221,1,40939
11251,1,41684
11281,1,41257
11311,1,40916
11341,1,40690
11371,1,41325
11401,1,41666
11431,1,40650
11461,1,41743
11491,1,41098
11521,1,40623
11551,1,41569
11581,1,40970
11611,1,41583
11641,1,40397
11671,1,41995
11701,1,40970
11731,1,40277
11761,1,41295
11791,1,41445
11821,1,40973
11851,1,40538
11881,1,41521
11911,1,40769
11941,1,41963
11971,1,41680
12001,1,41091
12031,1,41449
12061,1,41277
12091,1,42290
12121,1,40929
12151,1,40413
12181,1,40683
12211,1,41298
12241,1,40970
12271,1,40700
12301,1,41074
12331,1,41165
12361,1,41064
12391,1,40690
12421,1,41044
12451,1,42553
12481,1,40541
12511,1,41559
12541,1,40753
12571,1,41438
12601,1,40819
12631,1,40495
12661,1,41390
12691,1,40746
12721,1,40846
12751,1,40417
12781,1,39971
12811,1,41517
12841,1,40863
12871,1,41711
12901,1,40856
12931,1,40686
12961,1,40686
12991,1,40610
13021,1,41291
13051,1,40970
13081,1,41918
13111,1,41081
13141,1,41199
13171,1,40786
13201,1,41138
13231,1,41597
13261,1,42091
13291,1,41370
13321,1,42401
