concurrency,pool,throughput
1,1,32419
31,1,235404
61,1,280269
91,1,301932
121,1,317863
151,1,328299
181,1,318674
211,1,320924
241,1,327439
271,1,330687
301,1,334448
331,1,334896
361,1,334001
391,1,330906
421,1,337837
451,1,337609
481,1,337154
511,1,334448
541,1,329597
571,1,340367
601,1,338524
631,1,337609
661,1,346260
691,1,362581
721,1,378214
751,1,384615
781,1,410509
811,1,428082
841,1,442086
871,1,449236
901,1,458295
931,1,463392
961,1,464684
991,1,464252
1021,1,464252
1051,1,454132
1081,1,457456
1111,1,459981
1141,1,456204
1171,1,458295
1201,1,446428
1231,1,443262
1261,1,442086
1291,1,439367
1321,1,431034
1351,1,420875
1381,1,438981
1411,1,450856
1441,1,466417
1471,1,458715
1501,1,463392
1531,1,455373
1561,1,458295
1591,1,452488
1621,1,444839
1651,1,455788
1681,1,446428
1711,1,445632
1741,1,441306
1771,1,442869
1801,1,444444
1831,1,446827
1861,1,435919
1891,1,438212
1921,1,440528
1951,1,442086
1981,1,439753
2011,1,437828
2041,1,438212
2071,1,443655
2101,1,447627
2131,1,440917
2161,1,441696
2191,1,444049
2221,1,450856
2251,1,442477
2281,1,451671
2311,1,444049
2341,1,446827
2371,1,447227
2401,1,442869
2431,1,447227
2461,1,444444
2491,1,434782
2521,1,446030
2551,1,445235
2581,1,452488
2611,1,454545
2641,1,452488
2671,1,438981
2701,1,447627
2731,1,436681
2761,1,438596
2791,1,444444
2821,1,444839
2851,1,450450
2881,1,444444
2911,1,449640
2941,1,444839
2971,1,457038
3001,1,446030
3031,1,447627
3061,1,438981
3091,1,446827
3121,1,445632
3151,1,440140
3181,1,442086
3211,1,437445
3241,1,429553
3271,1,439367
3301,1,445632
3331,1,436681
3361,1,439753
3391,1,437445
3421,1,440140
3451,1,435919
3481,1,437445
3511,1,438981
3541,1,441306
3571,1,437828
3601,1,440140
3631,1,442869
3661,1,439753
3691,1,440528
3721,1,440917
3751,1,438212
3781,1,442869
3811,1,437828
3841,1,438212
3871,1,434027
3901,1,427715
3931,1,432900
3961,1,435919
3991,1,429184
4021,1,429184
4051,1,436300
4081,1,427350
4111,1,421229
4141,1,423011
4171,1,428816
4201,1,428449
4231,1,429184
4261,1,435540
4291,1,437828
4321,1,435540
4351,1,432525
4381,1,415282
4411,1,407497
4441,1,432152
4471,1,430292
4501,1,432525
4531,1,430292
4561,1,432152
4591,1,429184
4621,1,431034
4651,1,428082
4681,1,432900
4711,1,434404
4741,1,428082
4771,1,431406
4801,1,429553
4831,1,429553
4861,1,426257
4891,1,430663
4921,1,428449
4951,1,429553
4981,1,428082
5011,1,425894
5041,1,433651
5071,1,418410
5101,1,436300
5131,1,430292
5161,1,429922
5191,1,432152
5221,1,419463
5251,1,429922
5281,1,426621
5311,1,434027
5341,1,429553
5371,1,425531
5401,1,425170
5431,1,422654
5461,1,432525
5491,1,431406
5521,1,424808
5551,1,430292
5581,1,424448
5611,1,434404
5641,1,432525
5671,1,430663
5701,1,430663
5731,1,425894
5761,1,421585
5791,1,424088
5821,1,430663
5851,1,420521
5881,1,428082
5911,1,425531
5941,1,429553
5971,1,377928
6001,1,424808
6031,1,421940
6061,1,417710
6091,1,421940
6121,1,423011
6151,1,415627
6181,1,397140
6211,1,427715
6241,1,428082
6271,1,420875
6301,1,435540
6331,1,423370
6361,1,384024
6391,1,433275
6421,1,420168
6451,1,426257
6481,1,425170
6511,1,425894
6541,1,424088
6571,1,423728
6601,1,421940
6631,1,421585
6661,1,423370
6691,1,419815
6721,1,420875
6751,1,424808
6781,1,421585
6811,1,422297
6841,1,422297
6871,1,419463
6901,1,431778
6931,1,415973
6961,1,375375
6991,1,420875
7021,1,418760
7051,1,421229
7081,1,421940
7111,1,410846
7141,1,424088
7171,1,418760
7201,1,431406
7231,1,418060
7261,1,420875
7291,1,417362
7321,1,419463
7351,1,424088
7381,1,422654
7411,1,424088
7441,1,423728
7471,1,423728
